PARTICIPANT.NUMBER,AGE.IN.YEARS,GENDER,MAXIMUM.EDUCATIONAL.LEVEL,HANDEDNESS,PERCENTAGE.EXPOSED.SPANISH,PERCENTAGE.EXPOSED.BASQUE,PERCENTAGE.EXPOSED.ENGLISH,SELF.PERCEIVED.LEVEL.SPANISH,SELF.PERCEIVED.LEVEL.BASQUE,SELF.PERCEIVED.LEVEL.ENGLISH,INTERVIEW.MARK.SPANISH,INTERVIEW.MARK.BASQUE,INTERVIEW.MARK.ENGLISH,AGE.OF.ACQUISITION.SPANISH,AGE.OF.ACQUISITION.BASQUE,AGE.OF.ACQUISITION.ENGLISH,PICTURE.NAMING.TEST.SPANISH,PICTURE.NAMING.TEST.BASQUE,PICTURE.NAMING.TEST.ENGLISH,LEXTALE.TEST.SPANISH,LEXTALE.TEST.BASQUE,LEXTALE.TEST.ENGLISH
398,23,Female,University,Right,10,70,20,7,8,6,5,5,4,6,0,3,65,65,54,90,97,81.25
399,30,Female,University,Right,30,60,10,8,9,5,5,5,4,6,0,8,64,65,53,98.33,99,62.5
400,23,Male,High School,Right,90,10,10,8,1,6,5,2,4,0,6,4,65,8,55,92.5,54,70
401,21,Female,High School,Right,40,40,20,10,10,6,5,5,3,2,0,6,65,65,52,90.83,93,58.75
402,21,Female,High School,Right,60,30,10,10,9,7,5,5,4,0,2,5,65,61,58,99.17,98,58.75
403,37,Female,University,Right,50,40,10,9,8,4,5,5,3,0,3,7,56,45,22,99.17,91,67.5
404,22,Female,University,Left,40,40,20,9,8,7,5,5,4,0,2,5,64,62,53,92.5,96,62.5
405,23,Male,University,Right,60,30,10,9,9,4,5,5,4,0,0,8,65,65,50,99.17,97,62.5
406,23,Male,Professional Training,Right,80,20,0,10,8,7,5,4,2,0,3,5,65,43,41,95,87,66.25
407,22,Female,University,Right,70,10,20,8,7,7,5,5,4,0,0,5,65,58,55,95,81,68.75
408,28,Female,University,Right,70,30,0,10,2,3,5,4,3,0,3,6,65,61,46,97.5,94,53.75
409,28,Male,University,Right,40,50,10,10,8,9,5,5,4,0,0,10,65,63,62,93.33,91,72.5
410,22,Female,High School,Right,40,50,10,8,9,6,5,5,3,0,0,3,65,63,43,97.5,96,67.5
411,22,Female,University,Right,60,30,10,10,8,5,5,4,3,0,4,6,65,51,28,78.33,82,47.5
412,23,Female,Professional Training,Right,30,50,20,8,9,6,5,5,3,0,1,6,65,63,39,92.5,83,56.25
413,30,Male,University,Right,80,10,10,9,7,5,5,4,3,0,4,4,65,44,49,98.33,83,71.25
414,22,Female,University,Right,50,50,0,9,9,6,5,5,4,0,0,4,65,65,53,95.83,99,65
415,24,Male,Professional Training,Right,70,20,10,10,8,6,5,3,3,0,4,8,65,32,37,77.5,57,63.75
416,20,Male,University,Right,30,70,0,9,9,6,5,5,4,5,0,5,65,65,58,95.83,90,65
417,18,Female,High School,Left,70,20,10,10,9,6,5,4,3,0,3,3,65,50,48,100,94,55
418,24,Female,High School,Right,30,60,10,8,8,6,5,5,3,0,0,6,65,61,39,94.17,90,55
419,23,Female,University,Right,50,40,10,8,9,6,5,5,3,2,0,3,65,58,50,92.5,89,76.25
420,24,Female,University,Right,40,20,30,9,8,7,5,5,4,6,0,6,60,57,56,87.5,90,67.5
421,22,Male,University,Left,50,30,20,9,8,7,5,5,4,0,3,5,65,56,50,96.67,68,75
422,24,Female,High School,Right,50,30,20,10,8,6,5,4,3,0,1,8,65,57,53,95,92,81.25
423,25,Female,University,Right,40,60,0,9,9,3,5,4,2,0,2,7,65,57,31,96.67,92,56.25
424,20,Female,High School,Right,20,80,0,7,7,7,5,5,2,0,0,7,65,63,40,79.17,99,66.25
425,24,Male,University,Right,80,20,0,10,9,8,5,5,5,0,3,7,65,65,61,100,87,73.75
426,25,Male,University,Right,60,30,10,9,9,7,5,5,4,0,0,6,65,61,56,94.17,96,66.25
427,21,Female,University,Right,80,10,10,10,3,7,5,1,2,0,4,4,65,18,39,91.67,63,63.75
428,29,Female,University,Right,50,10,40,10,10,4,5,5,4,0,2,10,65,63,44,95.83,93,58.75
429,28,Female,University,Right,40,60,0,10,10,6,5,5,2,3,0,9,64,63,45,98.33,97,58.75
430,39,Female,University,Right,70,30,0,10,10,3,5,5,4,0,0,12,64,63,44,95,90,80
431,21,Male,University,Right,50,40,10,10,9,7,5,4,3,0,2,3,65,55,56,94.17,93,65
432,20,Female,High School,Right,90,10,0,10,9,7,5,5,4,0,0,6,65,65,60,95.83,94,65
433,31,Female,University,Left,40,40,20,9,7,5,5,5,3,0,0,10,64,57,24,98.33,87,65
434,23,Male,Postgraduate,Right,50,40,10,10,10,9,5,5,4,2,0,3,65,65,64,97.5,99,83.75
435,21,Male,Professional Training,Right,40,30,30,8,8,8,5,4,3,0,2,6,65,59,49,86.67,86,67.5
436,29,Female,Professional Training,Right,90,0,0,8,3,4,5,1,1,0,6,8,65,27,12,95,68,63.75
437,24,Female,University,Right,50,30,10,10,10,5,5,5,1,0,2,6,63,48,21,96.67,89,68.75
438,21,Female,High School,Right,80,10,10,9,8,7,5,5,5,0,3,7,65,57,52,98.33,85,56.25
439,21,Female,University,Right,70,20,20,10,5,5,5,4,3,0,4,4,65,51,48,84.17,76,65
440,23,Female,University,Right,40,50,10,7,9,6,5,5,2,2,0,5,63,63,36,91.67,89,53.75
441,19,Male,University,Right,60,20,20,10,7,7,5,4,2,0,2,5,65,53,52,94.17,78,60
442,21,Female,High School,Right,90,10,10,10,5,8,5,4,4,0,3,3,65,47,52,95,69,57.5
443,19,Female,University,Right,70,20,20,10,3,7,5,2,4,0,6,6,65,26,51,98.33,67,67.5
444,23,Male,University,Right,30,60,10,9,9,3,5,5,2,0,0,5,64,65,39,93.33,95,47.5
445,22,Female,Professional Training,Right,40,60,0,8,9,4,5,4,2,0,0,5,61,56,20,96.67,86,55
446,22,Male,Professional Training,Right,80,20,0,10,8,7,5,4,4,0,3,10,65,56,51,98.33,88,68.75
447,32,Female,University,Right,10,50,50,10,8,10,5,5,5,0,3,6,65,56,64,93.33,89,85
448,41,Male,Postgraduate,Left,70,20,20,10,6,7,5,4,4,0,4,12,65,47,48,91.67,84,67.5
449,24,Female,University,Right,50,40,10,10,10,7,5,5,3,0,2,3,65,63,53,98.33,96,70
450,22,Female,University,Right,40,50,10,8,9,7,5,5,4,3,0,5,64,65,53,100,98,58.75
451,23,Female,University,Right,100,0,0,9,7,3,5,2,2,0,3,3,65,38,18,95,77,61.25
452,21,Female,High School,Right,50,30,20,10,7,5,5,4,2,0,3,3,65,50,27,89.17,81,63.75
453,21,Male,High School,Right,90,10,0,9,6,6,5,3,2,0,0,6,64,38,34,93.33,83,65
454,22,Male,University,Right,70,20,10,10,8,2,5,4,2,0,3,6,62,32,17,90,80,56.25
455,24,Male,University,Right,20,60,20,10,10,9,5,3,3,0,5,7,65,46,37,91.67,78,65
456,36,Female,Professional Training,Right,30,70,0,10,10,4,5,5,3,0,2,12,65,62,27,100,96,67.5
457,44,Male,Professional Training,Right,50,40,10,8,8,4,5,4,2,0,0,10,64,62,52,100,81,72.5
458,22,Female,University,Right,80,10,10,10,7,9,5,4,4,0,3,6,65,45,50,96.67,92,66.25
459,19,Female,University,Right,30,60,10,8,10,6,5,5,2,0,0,5,59,63,26,96.67,93,53.75
460,27,Female,University,Right,50,50,0,10,10,5,5,5,3,0,0,5,65,65,54,99.17,96,65
461,22,Female,University,Right,30,40,20,8,8,7,5,5,3,0,0,8,65,57,35,93.33,89,67.5
462,33,Male,University,Right,60,30,10,9,9,5,5,5,3,5,0,10,62,58,31,95.83,87,62.5
463,21,Female,University,Right,90,10,0,10,9,6,5,5,3,0,2,5,65,60,43,92.5,93,72.5
464,26,Male,University,Right,50,50,0,8,8,2,5,5,3,3,0,3,63,63,44,96.67,95,61.25
465,24,Female,High School,Right,40,50,10,10,10,7,5,5,4,0,0,5,64,64,54,87.5,98,66.25
466,19,Male,High School,Left,70,10,10,10,8,5,5,3,2,0,6,10,65,37,18,96.67,79,61.25
467,45,Female,University,Right,20,60,20,9,9,8,5,5,5,3,0,8,63,65,64,93.33,100,72.5
468,25,Female,University,Right,50,40,10,10,10,7,5,5,5,0,0,5,65,65,61,99.17,95,68.75
469,24,Female,University,Right,60,40,40,10,5,9,5,4,4,0,6,8,65,32,57,90,78,77.5
470,24,Male,University,Right,80,10,10,10,8,8,5,4,3,0,0,6,65,60,46,93.33,94,52.5
471,21,Female,University,Right,60,30,10,10,9,7,5,4,4,0,2,5,65,47,57,97.5,91,65
472,20,Female,High School,Right,80,10,10,10,5,6,5,3,3,0,0,0,65,40,56,93.33,82,62.5
473,25,Female,University,Right,60,30,10,10,9,6,5,5,2,0,3,6,65,58,38,99.17,90,70
474,23,Female,Professional Training,Left,80,10,10,10,6,7,5,5,4,0,2,6,65,55,53,98.33,74,75
475,33,Male,University,Right,90,10,0,9,7,4,5,3,2,0,3,12,65,46,39,96.67,76,66.25
476,35,Female,University,Right,60,30,10,9,9,7,5,5,4,0,0,12,65,63,53,98.33,99,72.5
477,23,Female,Professional Training,Right,20,80,0,9,10,5,5,5,3,6,0,4,61,63,32,96.67,92,88.75
478,24,Female,University,Right,70,20,10,8,7,3,5,5,2,0,0,9,65,61,36,97.5,90,61.25
479,19,Male,University,Right,40,50,10,9,8,7,5,5,5,0,0,6,65,64,56,97.5,86,70
480,48,Male,High School,Right,70,20,20,10,7,9,5,4,5,0,6,10,65,48,63,99.17,89,85
481,24,Male,Professional Training,Right,60,30,10,10,6,3,5,3,2,0,2,12,65,41,34,92.5,68,51.25
482,34,Female,University,Right,60,30,10,9,9,7,5,5,4,0,0,10,65,65,60,100,100,67.5
483,22,Female,University,Left,60,40,0,8,8,6,5,5,3,0,0,6,65,58,41,100,98,68.75
484,21,Female,University,Right,50,30,10,10,8,6,5,5,2,0,0,6,65,50,36,93.33,75,51.25
485,25,Female,University,Right,70,20,10,10,8,7,5,5,3,0,0,7,65,48,44,93.33,83,68.75
486,23,Male,High School,Right,90,10,0,10,7,2,5,4,3,0,2,8,65,41,35,97.5,76,62.5
487,21,Female,University,Right,80,10,10,10,7,5,5,3,3,0,2,7,65,47,38,84.17,59,65
488,31,Female,University,Right,60,40,0,10,10,10,5,3,3,0,6,6,65,34,45,94.17,77,57.5
489,29,Female,University,Left,40,40,10,9,9,5,5,5,3,0,2,7,65,64,49,95,96,63.75
490,19,Female,University,Right,50,40,10,9,7,8,5,4,3,0,3,5,65,47,43,97.5,89,66.25
491,23,Male,University,Right,80,20,0,10,7,9,5,4,4,0,6,7,65,44,42,97.5,77,53.75
492,20,Male,University,Right,40,40,20,9,10,7,5,5,3,3,0,5,65,65,51,96.67,96,87.5
493,29,Male,University,Right,40,40,10,9,9,7,5,5,4,2,0,7,63,60,47,98.33,92,92.5
494,24,Female,University,Right,20,70,10,10,10,5,5,5,2,0,0,9,65,64,26,93.33,91,61.25
495,22,Male,University,Right,50,40,10,9,9,8,5,5,3,0,2,4,65,64,43,98.33,95,76.25
496,22,Male,High School,Right,40,60,0,9,9,4,5,5,3,0,0,5,65,63,45,93.33,90,67.5
497,42,Male,University,Right,70,20,10,10,10,10,5,5,5,0,5,11,65,62,64,100,86,65
498,31,Male,University,Right,70,20,10,10,7,5,5,4,3,0,3,9,65,45,31,91.67,68,63.75
499,29,Male,University,Right,40,50,10,9,10,7,5,5,4,4,0,3,65,64,62,99.17,99,81.25
500,19,Female,University,Right,20,80,0,8,9,7,5,5,4,0,0,7,64,65,57,91.67,97,70
501,24,Male,University,Right,70,20,10,10,9,6,5,4,3,0,3,6,65,46,32,98.33,83,60
502,20,Female,University,Right,40,40,10,10,10,8,5,5,3,0,0,5,65,60,33,93.33,82,72.5
503,26,Female,University,Right,90,10,0,10,6,6,5,4,4,0,0,3,65,53,48,95,65,48.75
504,24,Male,High School,Right,70,10,20,10,10,7,5,5,4,0,0,7,65,62,54,96.67,91,73.75
505,22,Female,University,Right,20,20,50,8,8,8,5,5,5,0,0,7,64,60,62,85,91,66.25
506,28,Male,High School,Right,80,20,20,10,3,5,5,2,5,0,5,7,65,13,57,96.67,68,83.75
507,22,Female,High School,Right,40,50,10,9,9,6,5,5,3,6,0,5,63,64,45,95,100,68.75
508,27,Male,University,Right,70,20,10,10,8,5,5,4,4,0,3,8,65,58,47,97.5,86,65
509,20,Female,University,Right,60,30,10,9,9,8,5,5,4,0,0,5,65,58,45,84.17,91,55
